id,name,address,elevation
28079004,Pza. de España,Plaza de España,635
28079008,Escuelas Aguirre,Entre C/ Alcalá y C/ O’ Donell ,670
28079011,Avda. Ramón y Cajal,Avda. Ramón y Cajal  esq. C/ Príncipe de Vergara,708
28079016,Arturo Soria,C/ Arturo Soria  esq. C/  Vizconde de los Asilos ,693
28079017,Villaverde,C/. Juan Peñalver,604
28079018,Farolillo,Calle Farolillo - C/Ervigio,630
28079024,Casa de Campo,Casa de Campo  (Terminal del Teleférico),642
28079027,Barajas Pueblo,"C/. Júpiter, 21 (Barajas) ",621
28079035,Pza. del Carmen,Plaza del Carmen esq. Tres Cruces. ,659
28079036,Moratalaz,Avd. Moratalaz  esq. Camino de los Vinateros,685
28079038,Cuatro Caminos,Avda. Pablo Iglesias esq. C/ Marqués de Lema,698
28079039,Barrio del Pilar,Avd. Betanzos esq. C/  Monforte de Lemos ,674
28079040,Vallecas,C/ Arroyo del Olivar  esq. C/  Río Grande. ,677
28079047,Mendez Alvaro,C/ Juan de Mariana / Pza. Amanecer Mendez Alvaro,599
28079048,Castellana,C/ Jose Gutierrez Abascal,676
28079049,Parque del Retiro,Paseo Venezuela- Casa de Vacas,662
28079050,Plaza Castilla,Plaza Castilla (Canal),728
28079054,Ensanche de Vallecas,Avda La Gavia / Avda. Las Suertes,627
28079055,Urb. Embajada,C/ Riaño (Barajas) ,618
28079056,Pza. Fernández Ladreda, Pza. Fernández Ladreda - Avda. Oporto,604
28079057,Sanchinarro,C/ Princesa de Eboli esq C/ Maria Tudor,700
28079058,El Pardo,Avda. La Guardia,615
28079059,Juan Carlos I,Parque Juan Carlos I (frente oficinas mantenimiento),660
28079060,Tres Olivos,Plaza Tres Olivos ,715
